Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithReferenceDocLinkGetDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithReferenceDocLinkGetDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.referenceDocs
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithSeveralReferenceDocLinksDoNotGetDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithGuideLinkUseDefaultPlatformVersionIfNoneIsSet) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithGuideLinkUseDefaultPlatformVersionIfNoneIsSet) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.guides
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithGuideLinkUsePlatformVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithGuideLinkUsePlatformVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.guides
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithGuideLinkGetDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithGuideLinkGetDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.guides
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithSeveralGuideLinksDoNotGetDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithAdditionalLinkUseDefaultPlatformVersionIfNoneIsSet) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithAdditionalLinkUseDefaultPlatformVersionIfNoneIsSet) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.GettingStartedSection.additionalLinks; io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithAdditionalLinkUsePlatformVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithAdditionalLinkUsePlatformVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.GettingStartedSection.additionalLinks; io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithAdditionalLinkDoNotDependencyNameByDefault) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,HelpDocumentGitIgnoreCustomizerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.documentation.HelpDocument; io.spring.initializr.generator.spring.scm.git.GitIgnore
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.io.text.BulletedSection
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection,Law of Demeter violation,The tool detected the smell in this method (isEmpty) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.io.text.BulletedSection.isEmpty; io.spring.initializr.generator.spring.documentation.GettingStartedSection.referenceDocs
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection,Law of Demeter violation,The tool detected the smell in this method (isEmpty) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.GettingStartedSection.guides; io.spring.initializr.generator.io.text.BulletedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection,Law of Demeter violation,The tool detected the smell in this method (isEmpty) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.GettingStartedSection.additionalLinks; io.spring.initializr.generator.io.text.BulletedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection.Link,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,io.spring.initializr.generator.spring.documentation,HelpDocument,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.PreDefinedSection; io.spring.initializr.generator.io.text.BulletedSection
.,io.spring.initializr.generator.spring.documentation,HelpDocument,Law of Demeter violation,The tool detected the smell in this method (isEmpty) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.io.text.BulletedSection.isEmpty; io.spring.initializr.generator.spring.documentation.HelpDocument.getWarnings
.,io.spring.initializr.generator.spring.documentation,HelpDocument,Law of Demeter violation,The tool detected the smell in this method (isEmpty) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,HelpDocument,Law of Demeter violation,The tool detected the smell in this method (isEmpty) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.nextSteps; io.spring.initializr.generator.spring.documentation.PreDefinedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizer,Law of Demeter violation,The tool detected the smell in this method (RequestedDependenciesHelpDocumentCustomizer) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.project.ProjectDescription.getPlatformVersion; io.spring.initializr.generator.version.Version.toString
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizer,Law of Demeter violation,The tool detected the smell in this method (RequestedDependenciesHelpDocumentCustomizer) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getBootVersions; io.spring.initializr.metadata.MetadataElement.getId; io.spring.initializr.metadata.SingleSelectCapability.getDefault
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.DependenciesCapability.get; io.spring.initializr.metadata.InitializrMetadata.getDependencies
.,io.spring.initializr.generator.spring,ProjectGeneratorIntegrationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.project.MutableProjectDescription; io.spring.initializr.generator.test.project.ProjectGeneratorTester
.,io.spring.initializr.generator.spring,ProjectGeneratorIntegrationTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.generator.spring,ProjectGeneratorIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDirectory; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withIndentingWriterFactory
.,io.spring.initializr.generator.spring,ProjectGeneratorIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.setGradleEnv; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring,AbstractComplianceTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.project.ProjectGeneratorTester
.,io.spring.initializr.generator.spring,AbstractComplianceTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
.,io.spring.initializr.generator.spring,AbstractComplianceTests,Law of Demeter violation,The tool detected the smell in this method (generateProject) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring,AbstractComplianceTests,Law of Demeter violation,The tool detected the smell in this method (generateProject) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring,AbstractComplianceTests,Law of Demeter violation,The tool detected the smell in this method (generateProject) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDirectory; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDescriptionCustomizer; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withContextInitializer
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.language.TypeDeclaration; io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (addsACustomizerThatAppliesSpringBootApplicationAnnotationOnMainClass) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.language.TypeDeclaration.annotations; io.spring.initializr.generator.language.AnnotationContainer.values
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (addsACustomizerThatAppliesTestAnnotationsOnTestClassWithJunit5) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.language.TypeDeclaration.annotations; io.spring.initializr.generator.language.AnnotationContainer.values
.,io.spring.initializr.generator.spring.code,TestSourceCodeProjectContributor,Law of Demeter violation,The tool detected the smell in this method (contribute) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.project.ProjectDescription.getBuildSystem; io.spring.initializr.generator.buildsystem.BuildSystem.getTestSource
.,io.spring.initializr.generator.spring.code,MainSourceCodeProjectContributor,Law of Demeter violation,The tool detected the smell in this method (contribute) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.BuildSystem.getMainSource; io.spring.initializr.generator.project.ProjectDescription.getBuildSystem
.,io.spring.initializr.generator.spring.code.java,JavaProjectGenerationConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.code.java,JavaProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDirectory; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDescriptionCustomizer; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withIndentingWriterFactory
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.buildsystem.maven.MavenBuild
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (kotlinVersionPropertyIsConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.PropertyContainer.versions; io.spring.initializr.generator.buildsystem.Build.properties
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (buildSourceDirectoriesAreConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenBuildSettings.getSourceDirectory; io.spring.initializr.generator.buildsystem.maven.MavenBuild.getSettings
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (buildSourceDirectoriesAreConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenBuildSettings.getTestSourceDirectory; io.spring.initializr.generator.buildsystem.maven.MavenBuild.getSettings
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (kotlinMavenPluginIsConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values; io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.buildsystem.maven.MavenBuild; io.spring.initializr.generator.project.MutableProjectDescription; io.spring.initializr.generator.spring.code.kotlin.KotlinJpaMavenBuildCustomizer
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (customizeWhenJpaFacetPresentShouldAddKotlinJpaPlugin) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values; io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (customizeWhenJpaFacetAbsentShouldNotAddKotlinJpaPlugin) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.isEmpty; io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (customizeWhenJpaFacetPresentShouldCustomizeAllOpen) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values; io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (customizeWhenJpaFacetAbsentShouldNotCustomizeAllOpen) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values; io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (getCustomizedBuild) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring.code.kotlin,KotlinDependenciesConfigurerTests,Law of Demeter violation,The tool detected the smell in this method (configuresDependenciesForGradleBuild) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.Build.dependencies; io.spring.initializr.generator.buildsystem.BuildItemContainer.ids
.,io.spring.initializr.generator.spring.code.kotlin,KotlinDependenciesConfigurerTests,Law of Demeter violation,The tool detected the smell in this method (configuresDependenciesForMavenBuild) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.Build.dependencies; io.spring.initializr.generator.buildsystem.BuildItemContainer.ids
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJacksonBuildCustomizerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.code.kotlin.KotlinJacksonBuildCustomizer; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJacksonBuildCustomizerTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJacksonBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (getCustomizedBuild) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaGradleBuildCustomizerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.buildsystem.gradle.GradleBuild; io.spring.initializr.generator.spring.code.kotlin.KotlinJpaGradleBuildCustomizer; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaGradleBuildCustomizerTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaGradleBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (customizeWhenJpaFacetPresentShouldAddKotlinJpaPlugin) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.values
