Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,io.spring.initializr.generator.spring.container.docker.compose,ComposeProjectContributor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.properties,ApplicationPropertiesProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.properties,ApplicationPropertiesCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build,BuildComplianceTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build,SpringBootVersionRepositoriesBuildCustomizer.ReleaseType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.build,SpringBootVersionRepositoriesBuildCustomizer.ReleaseType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build,BuildProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build,BuildCustomizer,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: KotlinMavenBuildCustomizer; KotlinGradleBuildCustomizer; KotlinJacksonBuildCustomizer; KotlinJpaGradleBuildCustomizer; KotlinDependenciesConfigurer; KotlinJpaMavenBuildCustomizer; KotlinMavenFullBuildCustomizer; GroovyMavenBuildCustomizer; GroovyDependenciesConfigurer; DefaultStarterBuildCustomizer; SpringBootVersionRepositoriesBuildCustomizer; DependencyManagementBuildCustomizer; WarPackagingWebStarterBuildCustomizer; BuildCustomizer.OrderedBuildCustomizer; SimpleBuildCustomizer; OptionalDependencyMavenBuildCustomizer; DefaultMavenBuildCustomizer; DevelopmentOnlyDependencyGradleBuildCustomizer; GradleConfigurationBuildCustomizer; SpringBootPluginBuildCustomizer; GradleAnnotationProcessorScopeBuildCustomizer
.,io.spring.initializr.generator.spring.build,BuildCustomizer.OrderedBuildCustomizer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: order; customizer
.,io.spring.initializr.generator.spring.build,BuildCustomizer.OrderedBuildCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.maven,MavenWrapperContributorTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.maven,MavenProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.maven,OptionalDependencyMavenBuildCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,GradleWrapperContributorTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,ConditionalOnGradleVersionTests.GradleVersionTestConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.build.gradle,ConditionalOnGradleVersionTests.GradleVersionTestConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,GradleWrapperContributor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,DevelopmentOnlyDependencyGradleBuildCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration.Gradle8ProjectGenerationConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration.Gradle8ProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration.GradleGroovyProjectGenerationConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration.GradleGroovyProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration.GradleKtsProjectGenerationConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration.GradleKtsProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,InitializrDependencyManagementPluginVersionResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,SpringBootPluginBuildCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.build.gradle,SpringBootPluginBuildCustomizer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ORDER; description; versionResolver
.,io.spring.initializr.generator.spring.build.gradle,OnGradleVersionCondition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.scm.git,GitIgnore.GitIgnoreSection,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; items
.,io.spring.initializr.generator.spring.scm.git,GitIgnore.GitIgnoreSection,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.scm.git,GitProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe.LambdaSafeCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: callbackType; argument; additionalArguments; logger; filter
.,io.spring.initializr.generator.spring.util,LambdaSafe.LambdaSafeCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe.LambdaSafeCallback,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: callbackType; argument; additionalArguments; logger; filter
.,io.spring.initializr.generator.spring.util,LambdaSafe.Callback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: callbackInstance
.,io.spring.initializr.generator.spring.util,LambdaSafe.Callback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe.Callbacks,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: callbackInstances
.,io.spring.initializr.generator.spring.util,LambdaSafe.Callbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe.Filter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe.GenericTypeFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.util,LambdaSafe.GenericTypeFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.util,LambdaSafe.InvocationResult,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: NONE; value
.,io.spring.initializr.generator.spring.util,LambdaSafe.InvocationResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web,AbstractInitializrControllerIntegrationTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web,AbstractInitializrControllerIntegrationTests,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractInitializrIntegrationTests
.,io.spring.initializr.web,AbstractInitializrControllerIntegrationTests.RestTemplateConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.web,AbstractInitializrControllerIntegrationTests.RestTemplateConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web,AbstractFullStackInitializrIntegrationTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web,AbstractInitializrIntegrationTests,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_METADATA_MEDIA_TYPE; CURRENT_METADATA_MEDIA_TYPE; objectMapper; folder; restTemplateBuilder; restTemplate; mask; filePermission
.,io.spring.initializr.web,AbstractInitializrIntegrationTests,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: AbstractInitializrControllerIntegrationTests; AbstractFullStackInitializrIntegrationTests in method readJsonFrom
.,io.spring.initializr.web,AbstractInitializrIntegrationTests,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: AbstractInitializrControllerIntegrationTests; AbstractFullStackInitializrIntegrationTests in method readJsonFrom
.,io.spring.initializr.web,AbstractInitializrIntegrationTests,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.ArchiveType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.ArchiveType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.Config,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.Config,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.BitMaskFilePermission,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mask; filePermission
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.BitMaskFilePermission,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,ResponseFieldSnippet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,MockMvcClientHttpRequestFactoryTestExecutionListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,JsonFieldProcessor.MapMatch,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: item; map; segment; parent
.,io.spring.initializr.web.test,JsonFieldProcessor.MapMatch,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,JsonFieldProcessor.ListMatch,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: items; list; item; parent
.,io.spring.initializr.web.test,JsonFieldProcessor.ListMatch,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,JsonFieldProcessor.MatchCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,JsonFieldProcessor.Match,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.test,JsonFieldProcessor.ProcessingContext,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: payload; segments; parent; path
.,io.spring.initializr.web.test,JsonFieldProcessor.ProcessingContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.mapper,DependencyMetadataV21JsonMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapper,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InitializrMetadataV2JsonMapper
.,io.spring.initializr.web.mapper,InitializrMetadataVersion,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mediaType
.,io.spring.initializr.web.controller,ProjectMetadataController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HAL_JSON_CONTENT_TYPE; dependencyMetadataProvider
.,io.spring.initializr.web.controller,ProjectMetadataController,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractMetadataController
.,io.spring.initializr.web.controller,CommandLineMetadataController,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractMetadataController
.,io.spring.initializr.web.controller,DefaultProjectGenerationController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.controller.custom,CustomProjectRequest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebProjectRequest
.,io.spring.initializr.web.controller.custom,ProjectGenerationControllerCustomRequestIntegrationTests.CustomProjectGenerationConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.web.controller.custom,ProjectGenerationControllerCustomRequestIntegrationTests.CustomProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.web.controller.custom,ProjectGenerationControllerCustomRequestIntegrationTests.CustomProjectRequestToDescriptionConverter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
